Format	System Prompt	User Prompt	Expected Result
json	"Vas a recibir informacion sobre las propiedades de una persona en lenguaje natural. Tu funcion sera resumirlas en un json, extrayendo las cantidades exactas convertidas a numeros. Ejemplo de Salida en json: {""inmobiliarias"": 3, ""vehiculos"": 1}"	Cuento con 3 carros, 2 motos y 1 camión.	"{""inmobiliarias"": 0, ""vehiculos"": 6}"
json	"Vas a recibir informacion sobre las propiedades de una persona en lenguaje natural. Tu funcion sera resumirlas en un json, extrayendo las cantidades exactas convertidas a numeros. Ejemplo de Salida en json: {""inmobiliarias"": 3, ""vehiculos"": 1}"	Cuento con 2 carros y 2 motos.	"{""inmobiliarias"": 0, ""vehiculos"": 4}"
json	"Vas a recibir informacion sobre las propiedades de una persona en lenguaje natural. Tu funcion sera resumirlas en un json, extrayendo las cantidades exactas convertidas a numeros. Ejemplo de Salida en json: {""inmobiliarias"": 3, ""vehiculos"": 1}"	Actualmente tengo 1 casa, 2 departamentos , 2 carros y 2 motos.	"{""inmobiliarias"": 3, ""vehiculos"": 4}"
json	"Vas a recibir informacion sobre las propiedades de una persona en lenguaje natural. Tu funcion sera resumirlas en un json, extrayendo las cantidades exactas convertidas a numeros. Ejemplo de Salida en json: {""inmobiliarias"": 3, ""vehiculos"": 1}"	Poseo 2 casas.	"{""inmobiliarias"": 2, ""vehiculos"": 0}"
json	"Vas a recibir informacion sobre las propiedades de una persona en lenguaje natural. Tu funcion sera resumirlas en un json, extrayendo las cantidades exactas convertidas a numeros. Ejemplo de Salida en json: {""inmobiliarias"": 3, ""vehiculos"": 1}"	Poseo 1 casa y 1 terreno.	"{""inmobiliarias"": 2, ""vehiculos"": 0}"
json	"Vas a recibir informacion sobre las propiedades de una persona en lenguaje natural. Tu funcion sera resumirlas en un json, extrayendo las cantidades exactas convertidas a numeros. Ejemplo de Salida en json: {""inmobiliarias"": 3, ""vehiculos"": 1}"	Poseo 1 terreno.	"{""inmobiliarias"": 1, ""vehiculos"": 0}"
json	"Vas a recibir informacion sobre las propiedades de una persona en lenguaje natural. Tu funcion sera resumirlas en un json, extrayendo las cantidades exactas convertidas a numeros. Ejemplo de Salida en json: {""inmobiliarias"": 3, ""vehiculos"": 1}"	Actualmente tengo 1 casa y 1 carro.	"{""inmobiliarias"": 1, ""vehiculos"": 1}"
json	"Vas a recibir informacion sobre las propiedades de una persona en lenguaje natural. Tu funcion sera resumirlas en un json, extrayendo las cantidades exactas convertidas a numeros. Ejemplo de Salida en json: {""inmobiliarias"": 3, ""vehiculos"": 1}"	Tengo 1 camión y 1 carro.	"{""inmobiliarias"": 0, ""vehiculos"": 2}"
json	"Vas a recibir informacion sobre las propiedades de una persona en lenguaje natural. Tu funcion sera resumirlas en un json, extrayendo las cantidades exactas convertidas a numeros. Ejemplo de Salida en json: {""inmobiliarias"": 3, ""vehiculos"": 1}"	Tengo 1 camión y 2 carros.	"{""inmobiliarias"": 0, ""vehiculos"": 3}"
json	"Vas a recibir informacion sobre las propiedades de una persona en lenguaje natural. Tu funcion sera resumirlas en un json, extrayendo las cantidades exactas convertidas a numeros. Ejemplo de Salida en json: {""inmobiliarias"": 3, ""vehiculos"": 1}"	Poseo 1 casa.	"{""inmobiliarias"": 1, ""vehiculos"": 0}"
json	"Vas a recibir informacion sobre las propiedades de una persona en lenguaje natural. Tu funcion sera resumirlas en un json, extrayendo las cantidades exactas convertidas a numeros. Ejemplo de Salida en json: {""inmobiliarias"": 3, ""vehiculos"": 1}"	Poseo 2 casas y 1 terreno.	"{""inmobiliarias"": 3, ""vehiculos"": 0}"
json	"Vas a recibir informacion sobre las propiedades de una persona en lenguaje natural. Tu funcion sera resumirlas en un json, extrayendo las cantidades exactas convertidas a numeros. Ejemplo de Salida en json: {""inmobiliarias"": 3, ""vehiculos"": 1}"	No tengo propiedades.	"{""inmobiliarias"": 0, ""vehiculos"": 0}"
json	"Vas a recibir informacion sobre las propiedades de una persona en lenguaje natural. Tu funcion sera resumirlas en un json, extrayendo las cantidades exactas convertidas a numeros. Ejemplo de Salida en json: {""inmobiliarias"": 3, ""vehiculos"": 1}"	Actualmente tengo 1 casa, 1 departamento y 3 carros.	"{""inmobiliarias"": 2, ""vehiculos"": 3}"
json	"Vas a recibir informacion sobre las propiedades de una persona en lenguaje natural. Tu funcion sera resumirlas en un json, extrayendo las cantidades exactas convertidas a numeros. Ejemplo de Salida en json: {""inmobiliarias"": 3, ""vehiculos"": 1}"	Cuento con 1 carro y 2 motos.	"{""inmobiliarias"": 0, ""vehiculos"": 3}"
json	"Vas a recibir informacion sobre las propiedades de una persona en lenguaje natural. Tu funcion sera resumirlas en un json, extrayendo las cantidades exactas convertidas a numeros. Ejemplo de Salida en json: {""inmobiliarias"": 3, ""vehiculos"": 1}"	Tengo 1 camión y 3 carros.	"{""inmobiliarias"": 0, ""vehiculos"": 4}"
json	"Vas a recibir informacion sobre las propiedades de una persona en lenguaje natural. Tu funcion sera resumirlas en un json, extrayendo las cantidades exactas convertidas a numeros. Ejemplo de Salida en json: {""inmobiliarias"": 3, ""vehiculos"": 1}"	Poseo 2 casas.	"{""inmobiliarias"": 2, ""vehiculos"": 0}"
json	"Vas a recibir informacion sobre las propiedades de una persona en lenguaje natural. Tu funcion sera resumirlas en un json, extrayendo las cantidades exactas convertidas a numeros. Ejemplo de Salida en json: {""inmobiliarias"": 3, ""vehiculos"": 1}"	Tengo 1 carro.	"{""inmobiliarias"": 0, ""vehiculos"": 1}"
json	"Vas a recibir informacion sobre las propiedades de una persona en lenguaje natural. Tu funcion sera resumirlas en un json, extrayendo las cantidades exactas convertidas a numeros. Ejemplo de Salida en json: {""inmobiliarias"": 3, ""vehiculos"": 1}"	Actualmente tengo 1 departamento , 2 carros y 1 moto.	"{""inmobiliarias"": 1, ""vehiculos"": 3}"
json	"Vas a recibir informacion sobre las propiedades de una persona en lenguaje natural. Tu funcion sera resumirlas en un json, extrayendo las cantidades exactas convertidas a numeros. Ejemplo de Salida en json: {""inmobiliarias"": 3, ""vehiculos"": 1}"	No tengo casas pero tengo 1 terreno.	"{""inmobiliarias"": 1, ""vehiculos"": 0}"
json	"Vas a recibir informacion sobre las propiedades de una persona en lenguaje natural. Tu funcion sera resumirlas en un json, extrayendo las cantidades exactas convertidas a numeros. Ejemplo de Salida en json: {""inmobiliarias"": 3, ""vehiculos"": 1}"	Cuento con 3 carros y 1 camión.	"{""inmobiliarias"": 0, ""vehiculos"": 4}"
